GRP_NAME,SPE_SHIFR,FAC_NAME_SH,INST_NAME,FAC_NAME,SPEC_NAME,SPZ_NAME
0011,11.03.01,ОЭ,ИЭИС,Отделение электроники,Радиотехника,"Радиотехнические средства передачи, приёма и обработки сигналов"
0011,552500,ФТФ,ОУФ,Физико-технический,радиотехника,
0011,200700,ИЭИС,ИЭИС,Институт электронных и информационных систем,радиотехника,
0011,210300,ОЭ,ИЭИС,Отделение электроники,Радиотехника,
0011,552500,ИЭИС,ИЭИС,Институт электронных и информационных систем,радиотехника,
0012,552500,ФТФ,ОУФ,Физико-технический,радиотехника,
0012,210300,ИЭИС,ИЭИС,Институт электронных и информационных систем,Радиотехника,
0013,552500,ФТФ,ОУФ,Физико-технический,радиотехника,
0014,552500,ФТФ,ОУФ,Физико-технический,радиотехника,
0021,210201,ОЭ,ИЭИС,Отделение электроники,Проектирование и технология радиоэлектронных средств,
0021,200800,ИЭИС,ИЭИС,Институт электронных и информационных систем,проектирование и технология радиоэлектронных средств,
0021,551100,ФТФ,ОУФ,Физико-технический,проектирование и технология электронных средств,
0021,210200,ОЭ,ИЭИС,Отделение электроники,Проектирование и технология электронных средств,
0021,210201,ИЭИС,ИЭИС,Институт электронных и информационных систем,Проектирование и технология радиоэлектронных средств,
0021,11.03.03,ОЭ,ИЭИС,Отделение электроники,Конструирование и технология электронных средств,Проектирование и технология радиоэлектронных средств
0022,210201,ОЭ,ИЭИС,Отделение электроники,Проектирование и технология радиоэлектронных средств,
0022,210200,ИЭИС,ИЭИС,Институт электронных и информационных систем,Проектирование и технология электронных средств,
0022,11.03.03,ОЭ,ИЭИС,Отделение электроники,Конструирование и технология электронных средств,Проектирование и технология радиоэлектронных средств
002А,03.06.01,АСП,АСППВ,Аспирантура,Физика и астрономия,Физика конденсированного состояния
0031,210100,ОЭ,ИЭИС,Отделение электроники,Электроника и микроэлектроника,
0031,11.03.04,ОЭ,ИЭИС,Отделение электроники,Электроника и наноэлектроника,Микроэлектроника и твердотельная электроника
0031,200100,ИЭИС,ИЭИС,Институт электронных и информационных систем,Микроэлектроника и твердотельная электроника,
0031,550700,ФТФ,ОУФ,Физико-технический,электроника и микроэлектроника,
0032,210100,ИЭИС,ИЭИС,Институт электронных и информационных систем,Электроника и микроэлектроника,
0032,11.04.04,ОЭ,ИЭИС,Отделение электроники,Электроника и наноэлектроника,Микро- и наноэлектронные устройства
0041,15.03.05,ОМЭ,ИПТ,Механико-энергетическое отделение,Конструкторско-технологическое обеспечение машиностроительных производств,Технология машиностроения
0041,151001,ОМЭ,ИПТ,Механико-энергетическое отделение,Технология машиностроения,
0041,120100,ФИТ,ИПТ,Инженерно-технологический,технология машиностроения,
0041,151001,ФИТ,ИПТ,Инженерно-технологический,Технология машиностроения,
0041,552900,ФИТ,ИПТ,Инженерно-технологический,"технология, оборудование и автоматизация машиностроительных производств",
0042,15.03.05,ОМЭ,ИПТ,Механико-энергетическое отделение,Конструкторско-технологическое обеспечение машиностроительных производств,Технология машиностроения
0042,552900,ФИТ,ИПТ,Инженерно-технологический,"технология, оборудование и автоматизация машиностроительных производств",
0042,150900,ФИТ,ИПТ,Инженерно-технологический,"Технология, оборудование и автоматизация машиностроительных производств",
0043,15.04.05,ОМЭ,ИПТ,Механико-энергетическое отделение,Конструкторско-технологическое обеспечение машиностроительных производств,Технология машиностроения
004А,06.06.01,АСП,АСППВ,Аспирантура,Биологические науки,Биохимия
0051,120400,ФАИС,ИПТ,"Архитектуры, искусств и строительства",машины и технология обработки металлов давлением,120400 машины и технология обработки металлов давлением
0051,552900,ФИТ,ИПТ,Инженерно-технологический,"технология, оборудование и автоматизация машиностроительных производств",
0051,552900,ФАИС,ИПТ,"Архитектуры, искусств и строительства","технология, оборудование и автоматизация машиностроительных производств",
0052,552900,ФИТ,ИПТ,Инженерно-технологический,"технология, оборудование и автоматизация машиностроительных производств",
0055,552900,ФАИС,ИПТ,"Архитектуры, искусств и строительства","технология, оборудование и автоматизация машиностроительных производств",
0061,190601,ФИТ,ИПТ,Инженерно-технологический,Автомобили и автомобильное хозяйство,
